intent,snippet
how to use the python isinstance() correctly to check if a variable is a number?,"isinstance(var, (int, float, complex))"
turn chains into int or float into python 3?,print('2 + ' + str(integer) + ' = ' + str(rslt))
how to make markers in smaller lines in matplotlib?,"plt.errorbar(x, y, yerr=err, fmt='-o', markersize=2, color='k', label='size 2')"
how can i modify the last line of a file?,f.close()
django m2m queryset filtered into multiple foreign keys,"participants = models.ManyToManyField(User, related_name='conversations')"
change file permission in python,"subprocess.call(['chmod', '0444', 'path'])"
how can i consult objects of all children of a node with django mptt?,Student.objects.filter(studentgroup__level__pk=1)
python: how can i find all files with a particular extension?,glob.glob('?.gif')
how to read a configuration file using python,"self.path = configParser.get('your-config', 'path1')"
parsing json fields in python,print(b['indices']['client_ind_2']['index'])
how to create a menu and submenus in python curses?,self.window.keypad(1)
how can i simulate entry to stdin for the piunity?,"sys.stdin = open('simulatedInput.txt', 'r')"
add custom method to string object,sayhello('JOHN'.lower())
from nd to 1d arrays,a.flatten()
how do you get a list of directories sorted by date of creation in python?,files.sort(key=lambda x: os.path.getmtime(x))
how to create a list of 3 or 4 dataframe columns in pandas when we have 20 to 50 columns?,df[df.columns[2:5]]
getting unique foreign keys in django?,Farm.objects.filter(tree__in=TreeQuerySet)
circular reference of the django model,team = models.ForeignKey('Team')
convert string base-2 binary number to int,"int('11111111', 2)"
changing the color of offset in scientific notation in matplotlib,"ax1.ticklabel_format(style='sci', scilimits=(0, 0), axis='y')"
how can i check a python unicode chain to see that *really *is unicode appropriate?,""""""""""""".decode('utf8')"
reading in whole from stdin in python,bin('10')
waste of the yarn in python,t.start()
matplotlib contour plot with contour lines that cross,plt.show()
sorting python file lines,"re.split('\\s+', line)"
get starry gmail messages using imap4 and python,IMAP4.select('[Gmail]/Starred')
find the first value not zero in each row of pandas dataframe,"df.replace(0, np.nan).bfill(1).iloc[:, (0)]"
how to create a hyperlink with a tkinter label?,root.mainloop()
recovering directory contents in network unit (windows),os.listdir('\\networkshares\\folder1\\folder2\\folder3')
python cherrypy - how to add header,cherrypy.quickstart(Root())
why pandas transform fails if you only have one column,df.groupby('a')['a'].transform('count')
how can i run an external command asynchronously from python?,p.terminate()
pandas python: histogram of dates?,df.date = df.date.astype('datetime64')
how to access httprequest for urls.py in django,"return super(MyListView, self).dispatch(request, *args, **kwargs)"
index the first and last n items in the list,l[:3] + l[-3:]
how to find common elements in the list of lists?,set([1])
how to get the number of tags <p> within div in scrapy?,"len(response.xpath('//div[@class=""entry-content""]/p'))"
why a python bytearray works with value > 256,bytearray('\xff')
how to update the plot with python and matplotlib,plt.draw()
find the index of a given item a list that contains it in python,"['foo', 'bar', 'baz'].index('bar')"
how can i capture the stdout output of a child process?,sys.stdout.flush()
how to find the number of days in the current month,"print(calendar.monthrange(now.year, now.month)[1])"
how to send the content in a twisted python server list?,client.transport.write(message)
how to write a list to xlsx using openpyxl,cell.value = statN
how is a column drawn from a multidimensional matrix?,return [row[i] for row in matrix]
"from a list of floaters, how to keep only mantissa in python?",[(a - int(a)) for a in l]
python matplotlib decrease the size of the color bar tags,cbar.ax.tick_params(labelsize=10)
django models one to many,vulnerability = models.ForeignKey(Vuln)
create a 3d array using python,[[[(0) for _ in range(n)] for _ in range(n)] for _ in range(n)]
how to make two markers share the same label in the legend using matplotlib?,plt.show()
list of strings unicode,"['aaa', 'bbb', 'ccc']"
passing meta-characters to python as arguments from the command line,"""""""\\t\\n\\v\\r"""""".decode('string-escape')"
matrix numpy a array,A = np.squeeze(np.asarray(M))
how to set the default text for a tkinter input widget,root.mainloop()
print a string as hexagonal bytes?,""""""":"""""".join(x.encode('hex') for x in 'Hello World!')"
how to remove nan from a series of pandas where dtype is a list?,pd.Series([np.array(e)[~np.isnan(e)] for e in x.values])
how to enter a word on the ncurses screen?,curses.endwin()
how to perform the or condition in the django query set?,User.objects.filter(Q(income__gte=5000) | Q(income__isnull=True))
django: orderly list of instances of models of different models?,MediaItem.objects.all().order_by('upload_date').select_subclasses()
efficiently applying the function to dataframe grouped pandas in parallel,"df.set_index('key', inplace=True)"
resampling of data outside the time series,df.groupby('rounded_length').mean().force
sampling floats at random in the range in numpy,"np.random.uniform(5, 10, [2, 3])"
sort a heterogeneous list of objects in python,"sorted(itemized_action_list, key=attrgetter('priority'))"
saving a nuppy array with mixed data,"numpy.savetxt('output.dat', my_array.reshape((1, 8)), fmt='%f %i ' * 4)"
generate a random card in python,random.choice(string.letters)
matplotlib savefig image size with bbox_inches='tight',"plt.savefig('/tmp/test.png', dpi=200)"
map of two lists in a single list of dictionaries,"return [dict(zip(keys, values[i:i + n])) for i in range(0, len(values), n)]"
bit representation of printing of numbers in python,"""""""{0:16b}"""""".format(4660)"
bit representation of printing of numbers in python,"""""""{0:016b}"""""".format(4660)"
what is the appropriate way to format a multiline dictation in python?,"nested = {a: [(1, 'a'), (2, 'b')], b: [(3, 'c'), (4, 'd')]}"
using pytz to convert from a known time zone to local,(local_dt - datetime.datetime.utcfromtimestamp(timestamp)).seconds
numpy repeat for matrix 2d,"res = np.zeros((arr.shape[0], m), arr.dtype)"
faster convolution of probability density functions in python,"convolve_many([[0.6, 0.3, 0.1], [0.5, 0.4, 0.1], [0.3, 0.7], [1.0]])"
numpy int array: search multiple int indexes of destination,"np.where(np.in1d(values, searchvals))"
how to write the custom python log controller?,logger.setLevel(logging.DEBUG)
"how to get value in a certain index, in a python list?","dictionary = dict(zip(List[0::2], List[1::2]))"
is there a way to make multiple horizontal boxplots in matplotlib?,"plt.subplot('{0}{1}{2}'.format(1, totfigs, i + 1))"
pythonic way to remove duplicates invested in the list,data = {tuple(sorted(item)) for item in lst}
how to go through django 1.9,"url('^$', 'recipes.views.index'),"
how to add at the end of an empty list?,list1 = [i for i in range(n)]
filter columns of only zeros from a pandas data frame,df.apply(lambda x: np.all(x == 0))
pandas scatter plottering datetime,"df.plot(x=x, y=y, style='.')"
unboundlocalerror: local variable 'x' referenced before the assignment. do i use tsplot in the seaborn package for a data frame?,"sns.tsplot(melted, time=0, unit='variable', value='value')"
subset of dictionary keys,{v[0]: data[v[0]] for v in list(by_ip.values())}
print a progress bar processing in python,sys.stdout.flush()
django - how to filter using queryset to get subset of objects?,Kid.objects.filter(id__in=toy_owners)
get time to create files with python on mac,return os.stat(path).st_birthtime
how to read numbers in the text file using python?,data = [[int(v) for v in line.split()] for line in lines]
split words into a nested list in letters,[list(l[0]) for l in mylist]
creating tuple sets in python,"mySet = set(itertools.product(list(range(1, 51)), repeat=2))"
escape from double dates for json in python,json.dumps(s)
average tuples,sum(v[0] for v in list(d.values())) / float(len(d))
how do i convert a datetime.date object into datetime.datetime into python?,"datetime.datetime.combine(dateobject, datetime.time.min)"
remove a list of characters in the string,"s.translate(None, ',!.;')"
how to convert a set of python to a nuppy array?,numpy.array(list(c))
the easiest way to replace a string using a replacement dictionary?,pattern = re.compile('|'.join(list(d.keys())))
categorize list in python,"[ind for ind, sub in enumerate(totalist) if sub[:2] == ['A', 'B']]"
hashing a python dictionary,hash(frozenset(list(my_dict.items())))
how to use sprite groups in pygame,gems = pygame.sprite.Group()
rotating a two-dimensional matrix in python,original[::-1]
use of chromedriver with selenium/piton/ubuntu,driver = webdriver.Chrome(executable_path='/usr/local/bin/chromedriver')
how to create a trie in python,"make_trie('foo', 'bar', 'baz', 'barz')"
update the tkinter label of the variable,root.mainloop()
get only certain related object fields in django,"Users.objects.filter(id=comment.user_id).values_list('name', 'email')"
the sum of products for multiple lists in python,"sum([(x * y) for x, y in zip(*lists)])"
python as pad numpy matrix with zeros,result = np.zeros(b.shape)
get column values from multiple pandas frame data indexes,"df.loc[df.xs('Panning', axis=1, level=1).eq('Panning').any(1)]"
add tuple to the list of tuples,"c = [tuple(x + b[i] for i, x in enumerate(y)) for y in a]"
divide the dictionary into python in keys and values,"keys, values = zip(*list(dictionary.items()))"
how to export a table data frame in pyspark to csv?,df.write.format('com.databricks.spark.csv').save('mycsv.csv')
recovering directory contents in network unit (windows),os.listdir('\\\\server\x0colder\\subfolder\\etc')
how do i connect to a mysql database in python?,db.commit()
get a subset of a python dictionary,dict([i for i in iter(d.items()) if i[0] in validkeys])
how to get a non-blocking/real-time behavior from python log module? (out to pyqt qtextbrowser),sys.exit(app.exec_())
set color bar range in matplotlib,plt.colorbar()
how to print integers as hexagonal strings using json.umps() in python,"{'a': '0x1', 'c': '0x3', 'b': 2.0}"
python int to binary?,bin(10)
python: uploading words from the file into a set,words = set(open('filename.txt').read().split())
add a 2d array (field) to a nuppy recarray,"rf.append_fields(arr, 'vel', np.arange(3), usemask=False)"
formatting divided into strings in python 3,s.split()
