intent,snippet
python lxml append element after another element,"contentnav = tree.find("".//div[@id='content_nav']"")
contentdiv = contentnav.getparent()
contentdiv.insert(contentdiv.index(contentnav) + 1, ET.XML(
    ""<div style='clear: both'></div>""))
print(ET.tostring(tree))"
how to elegantly interleave two lists of uneven length in python?,"return [item[1] for item in sorted(IT.chain.from_iterable(zip(IT.count(
    start=1.0 / (len(seq) + 1), step=1.0 / (len(seq) + 1)), seq) for seq in
    iterables))]
iterables = [['X'] * 2, list(range(1, 11)), ['a'] * 3]
print(evenly_spaced(*iterables))"
function parameters - python,"parrot(5, state='dead')
parrot(5, 'dead')"
pretty-printing physical quantities with automatic scaling of si prefixes,l = math.floor(math.log10(abs(x)))
how to do a 'groupby' by multilevel index in pandas,RPT_tmp['year'] = RPT_tmp['RPT_Date'].apply(year)
aliases for commands with python cmd module,"cmd, arg, line = self.parseline(line)"
imoverlay in python,"y = np.zeros((10, 10))"
insert or update keys in a python dictionary,"for k in dict1:
    my_dict[k].append(dict1[k])"
mplot3d animation with transparent background,fig.patch.set_visible(False)
can super deal with multiple inheritance?,"class Bar(object):
    pass"
how do i generate a spectrogram of a 1d signal in python?,"plot(t * 1000.0, y, 'r')"
how to model a foreign key in a reusable django app?,objects = TaggedItemManager()
python convert mp3 to wav with pydub,"subprocess.call(['sox', '/input/file.mp3', '-e', 'mu-law', '-r', '16k',
    '/output/file.wav', 'remix', '1,2'])"
'is' operator behaves unexpectedly with non-cached integers,a is b
examples of entry_point usage,"try:
    from pkg_resources import working_set
except ImportError:
    pass
else:
    for entry_point in working_set.iter_entry_points(GROUP_NAME, method):
        func = entry_point.load(require=True)"
pylint false positive for unused argument,"def addSeven(foo):
    pass"
python gps module: reading latest gps data,return self.current_value
python: urllib2 how to send cookie with urlopen request,"r = requests.get('http://httpbin.org/cookies', cookies=cookies)
r.text"
how to manage logging in curses,logging.Handler.__init__(self)
how to create a range of random decimal numbers between 0 and 1,"for i in range(100):
    i /= 100.0
print(i)"
"python optparse, how to include additional info in usage output?",parser.add_option_group(group)
how to implement a watchdog timer in python?,watchdog.stop()
selenium: iterating through groups of elements,"persons.append({'title': title, 'company': company})"
how to save frequently used physical constants in python,return self
python - using beautifulsoup to scrape an espn table,r = requests.get(url)
how can i schedule a task to execute at a specific time using celery?,"from celery.task.schedules import crontab
from celery.decorators import periodic_task"
python: unable to inherit from a c extension,"class ll_mat(object):
    pass"
"resize gif animation, pil/imagemagick, python","frames = images2gif.readGif('rose.gif', False)"
python: how to replace a property with a regular attribute?,"class MyOtherClass(MyClass):
    pass"
python password protection,password = '2034f6e32958647fdff75d265b455ebf'
python map string split list,"map(lambda s: s.split(), a)"
tuple unpacking order changes values assigned,"nums[0], nums[nums[0]] = nums[nums[0]], nums[0]"
group data by date based on values using pandas,"res = df.groupby(df.date.dt.month).agg(['min', 'max'])"
creating a temporary table from a query using sqlalchemy orm,e.execute(ins)
using struct pack in python,"hex(ord('""'))"
python facebook api - cursor pagination,graph = facebook.GraphAPI(ACCESS_TOKEN)
run ssh-add with fabric in a machine,"cwd = env.get('cwd', '')"
calculate difference between 'times' rows in dataframe pandas,"df['TimeWeekDiff'] = df['TimeWeek_date'] - df['TimeWeek_date'].shift().fillna(
    pd.to_datetime('00:00:00', format='%H:%M:%S'))"
python how to append to file in zip archive,"z.close()
z = zipfile.ZipFile('myzip.zip', 'r', zipfile.ZIP_DEFLATED)"
python fraction of seconds,t = datetime.now()
plot x-y data if x entry meets condition python,"axes[1].plot(x, np.polyval(model, x), 'r-')
plt.show()"
how to calculate all 24 rotations of 3d array?,polycube = numpy.rot90(polycube)
how to import .py file from another directory?,"import sys
sys.path.insert(0, 'path/to/your/py_file')"
numpy divide row by row sum,diagonal_entries = [sum(e[row]) for row in range(e.shape[0])]
how to tell python scrapy to move to the next start url,from scrapy.contrib.linkextractors.sgml import SgmlLinkExtractor
converting png32 to png8 with pil while preserving transparency,"im = im.convert('RGB').convert('P', palette=Image.ADAPTIVE, colors=255)"
runtimewarning: invalid value encountered in greater,out_vec = out_vec[~numpy.isnan(out_vec)]
getting only positive number from a list that containing heterogeneous data type item in python 3,"lst = ['1', 'err', '-1', ' ', '155']
newlst = []"
python request post with param data,"import requests
import json
headers = {'content-type': 'application/json'}
url = 'http://192.168.3.45:8080/api/v2/event/log'
data = {'eventType': 'AAS_PORTAL_START', 'data': {'uid': 'hfe3hf45huf33545',
    'aid': '1', 'vid': '1'}}
params = {'sessionKey': '9ebbd0b25760557393a43064a92bae539d962103',
    'format': 'xml', 'platformId': 1}
requests.post(url, params=params, data=json.dumps(data), headers=headers)"
format of complex number in python,imag_part
getting the first item item in a many-to-many relation in django,"GroupMembers.objects.create(person=prs, group=grp, order=3)"
using swig for functions with functions as input parameter,"return PyCBack()
print(callF(cback(lambda x, y: x * y), 3, 7))"
how can i unit test responses from the webapp wsgi application in google app engine?,"self.assertTrue('Hello, World!' in response)

def test_page_with_param(self):
    app = TestApp(self.application)
response = app.get('/?name=Bob')
self.assertEqual('200 OK', response.status)
self.assertTrue('Hello, Bob!' in response)"
convert numpy array to tuple,"arr = numpy.array(((2, 2), (2, -2)))
tuple(map(tuple, arr))"
the default sorting criteria of sqlalchemy?,__tablename__ = 'users'
multiplying values from two different dictionaries together in python,"for key, value in dict1.items():
    if key in dict2:
        pass"
"how can i select the second dataframe only from a webpage with two dataframes, using pandas in python?","data = web.DataReader('A', 'google', start, end)
data.head()"
how to implement a watchdog timer in python?,"self.handler = userHandler if userHandler is not None else self.defaultHandler
self.timer = Timer(self.timeout, self.handler)

def reset(self):
    self.timer.cancel()
self.timer = Timer(self.timeout, self.handler)

def stop(self):
    self.timer.cancel()

def defaultHandler(self):
    raise self"
how do i ensure data integrity for objects in google app engine without using key names?,existing_alias.put()
pyyaml: dumping without tags,"def unicode_representer(dumper, uni):
    node = yaml.ScalarNode(tag='tag:yaml.org,2002:str', value=uni)
return node
yaml.add_representer(str, unicode_representer)"
how to increment datetime by custom months in python without using library,year = int(sourcedate.year + month / 12)
building self-referencing tuples,"for i in range(refcnt + 1):
    ctypes.pythonapi.Py_IncRef(arrayobj)"
convert pandas dataframe to a list,"fruit = [df.columns[row.astype(bool)].tolist() for row in df.values]
pprint.pprint(fruit)"
proper way to consume data from restful api in django,"params = {'year': year, 'author': author}"
filtering of tweets received from statuses/filter (streaming api),"def on_data(self, data):
    print(self.keyword, data)"
how to combine dictionary + list to form one sorted list,"l = [('J', 20), ('Q', 10), ('F', 2)]
print([(a, b, z[a]) for a, b in l])"
insert image in openpyxl,"wb = openpyxl.Workbook()
ws = wb.worksheets[0]
img = openpyxl.drawing.Image('test.jpg')
img.anchor(ws.cell('A1'))
ws.add_image(img)
wb.save('out.xlsx')"
using python weakset to enable a callback functionality,"def __call__(self, obj):
    pass"
sort list in python by two other lists,"rev_sorted = sorted(paired, reverse=True, key=lambda x: x[1])
paired_sorted = sorted(rev_sorted, key=lambda x: x[0])"
networkx - path around a node,"if neighb in [x for x in G.neighbors(other) if x != root]:
    pass"
insert data into mysql table from python script,results = cursor.fetchone()
how to cleanly loop over two files in parallel in python,"for line, word in zip(lines, words):
    pass"
python string manipulation,"count = 1
while count:
    pass"
how to portably parse the (unicode) degree symbol with regular expressions?,'(temp1:)\\s+(\\+|-)(\\d+\\.\\d+)\xb0C\\s+\\(crit\\s+=\\s+(\\+|-)(\\d+\\.\\d+)\xb0C\\).*'
deque in python pandas,import numpy as np
python-daemon context fails to start when a stale pid file is present,from lockfile import AlreadyLocked
closures in python,return vset(args)
run python script as cgi apache server,"print('Content-Type: text/html')
print() 
print(""""""
    <TITLE>CGI script ! Python</TITLE>
    <H1>This is my first CGI script</H1>
    Hello, world!
"""""")"
is it possible to debug cherrypy applications?,"try:
    engine.start()
except:
    pass"
multiple 'in' operators in python?,"all(word in d for word in ['somekey', 'someotherkey', 'somekeyggg'])"
how to get multiline input from user,"while True:
    pass"
how can a #defined c value be exposed to python in a cython module?,"bullet.ACTIVE_TAG
bullet.DISABLE_SIMULATION"
using python to program ms office macros?,xl = comDispatch('Excel.Application')
making django admin display the primary key rather than each object's object type,"class HostAdmin(admin.ModelAdmin):
    pass"
how to identify the elements which are removed from set() in python?,"a = [1, 2, 3, 1, 4]"
iterating through a range of dates in python,print(single_date.strftime('%Y-%m-%d'))
match rows in one pandas dataframe to another based on three columns,"dfA = pd.DataFrame({'X': [1, 1, 2, 2, 2, 3], 'Y': [1, 1, 2, 2, 2, 3],
    'ONSET_TIME': [5, 7, 9, 16, 22, 28], 'COLOR': ['Red', 'Blue', 'Blue',
    'red', 'Green', 'Orange']})
mergeDf = pd.merge(dfA, dfB, left_on=['X', 'Y'], right_on=['X', 'Y'])"
combinatorial product of regex substitutions,"target = 'abc123def'
pattern = re.compile('\\B(\\d+)\\B')"
can i insert matplotlib graphs into excel programmatically?,"plt.savefig('myplot.png', dpi=150)"
how to put text in input line: how to ask for user input on the command line while providing a 'default' answer that the user can edit or delete?,messageVar.set('Enter a command:')
applying style sheets in pyqt,"""""""QGroupBox { background-color: rgb(255, 255,255); border:1px solid rgb(255, 170, 255); }"""""""
non-lazy evaluation version of map in python3?,"collections.deque(map(writer.writerow, data), 0)"
python use split with arrays,[[int(y) for y in x.split()] for x in s.split(' 3 4 ')]
how to remove a column from a structured numpy array *without copying it*?,offsets = [dt.fields[name][1] for name in names]
how to display an image with pylab from a script in a non blocking way,"thread.start()
thread.join()"
subset of dictionary keys,{key: data[key] for key in one_by_ip}
how to use django's assertjsonequal to verify response of view returning jsonresponse,"def test_success_when_not_added_before(self):
    response = self.client.post('/add-item-to-collection')"
"in python, how to access a uint16[3] array wrapped by swig (i.e. unwrap a pyswigobject)?",pC[1] = 100
changing the rotation of tick labels in seaborn heatmap,keptticks = xticks[::int(len(xticks) / 10)]
